7.744853221 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42c419 0x2f429119 10 12 28960 506 29312
7.744892841 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2a4d2 0x4aa271d2 10 12 28960 507 29312
7.744918241 10.10.1.2:51110 10.10.2.1:5001 32 0xb798166 0xb794e66 10 12 28960 749 29312
7.747138225 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2a4d2 0x4aa271ea 11 12 29056 499 29312
7.759211258 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2c11a 0x4aa27792 12 12 31872 767 29312
7.771265997 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2c11a 0x4aa27d3a 12 12 34816 2512 29312
7.783309318 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2c6c2 0x4aa282e2 12 12 37760 5545 29312
7.795497235 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2cc6a 0x4aa2888a 12 12 40576 9704 29312
7.807372830 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2d212 0x4aa28e32 12 12 43520 14868 29312
7.819417243 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2d7ba 0x4aa293da 12 12 46336 20868 29312
7.831435204 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2dd62 0x4aa29982 12 12 49280 27624 29312
7.843439149 10.10.1.2:51114 10.10.2.1:5001 32 0x4aa2e30a 0x4aa29f2a 12 12 52224 35039 29312
7.855445201 10.10.1.2:51110 10.10.2.1:5001 32 0xb79925e 0xb794e7e 11 12 29056 731 29312
7.867316418 10.10.1.2:51110 10.10.2.1:5001 32 0xb799806 0xb795426 12 12 31872 14498 29312
7.879418709 10.10.1.2:51110 10.10.2.1:5001 32 0xb799dae 0xb7959ce 12 12 34816 28029 29312
7.891443511 10.10.1.2:51110 10.10.2.1:5001 32 0xb79a356 0xb795f76 12 12 37760 41381 29312
7.903438817 10.10.1.2:51110 10.10.2.1:5001 32 0xb79a8fe 0xb79651e 12 12 40576 54567 29312
7.915390852 10.10.1.2:51110 10.10.2.1:5001 32 0xb79aea6 0xb796ac6 12 12 43520 67605 29312
7.927320196 10.10.1.2:51110 10.10.2.1:5001 32 0xb79b44e 0xb79706e 12 12 46336 80505 29312
7.939354921 10.10.1.2:51110 10.10.2.1:5001 32 0xb79b9f6 0xb797616 12 12 49280 93283 29312
7.951298788 10.10.1.2:51110 10.10.2.1:5001 32 0xb79bf9e 0xb797bbe 12 12 52224 105968 29312
7.963348732 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42d511 0x2f429131 1 5 29056 500 29312
7.975304295 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42d511 0x2f4296d9 11 12 31872 27437 29312
7.987210230 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42e061 0x2f429c81 12 12 34816 52835 29312
7.999263486 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42e609 0x2f42a229 12 12 37760 76546 29312
8.011344162 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42ebb1 0x2f42a7d1 12 12 40576 98800 29312
8.023219658 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42f159 0x2f42ad79 12 12 43520 119782 29312
8.035175252 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42f701 0x2f42b321 12 12 46336 139624 29312
8.047137970 10.10.1.2:51112 10.10.2.1:5001 32 0x2f42fca9 0x2f42b8c9 12 12 49280 158480 29312
8.059260399 10.10.1.2:51112 10.10.2.1:5001 32 0x2f430251 0x2f42be71 12 12 52224 176474 29312
8.071152704 10.10.1.2:51112 10.10.2.1:5001 32 0x2f4307f9 0x2f42c419 12 12 55040 193734 29312
8.083013807 10.10.1.2:51112 10.10.2.1:5001 32 0x2f430da1 0x2f42c9c1 12 12 57984 210304 29312
8.095081808 10.10.1.2:51110 10.10.2.1:5001 32 0xb79c546 0xb798166 12 12 55040 118562 29312
